ID,TimeDiff
1,5.791666667
2,26.41666667
3,34
4,16.95833333
5,9.333333333
6,37.54166667
7,17.08333333
8,4.333333333
9,6.5
10,2.333333333
11,5.416666667
12,5.125
13,31.375
14,4.083333333
15,1.708333333
16,56.79166667
17,35.20833333
18,27.75
19,11.70833333
20,31.125
21,25.33333333
22,4.958333333
23,81.66666667
24,20.41666667
25,19.83333333
26,6.375
27,21.25
28,5.125
29,11.79166667
30,1.041666667
31,6.208333333
32,34.45833333
33,2.708333333
34,0.208333333
35,16.5
36,2.625
37,29.91666667
38,28.08333333
39,20.54166667
40,19.79166667
41,20.95833333
42,0.041666667
43,35.25
44,19.91666667
45,2.125
46,18.66666667
47,14.29166667
48,1.416666667
49,43.95833333
50,15.875
51,36.25
52,18.08333333
53,16.70833333
54,9.5
55,4.416666667
56,46.20833333
57,29.20833333
58,2.416666667
59,18.83333333
60,38.625
61,6.541666667
62,21.83333333
63,17.08333333
64,28
65,10.54166667
66,1.958333333
67,51.29166667
68,6.958333333
69,2.833333333
70,17.25
71,45.20833333
72,37.83333333
73,1.416666667
74,82.91666667
75,0.458333333
76,7.333333333
77,26.625
78,0.166666667
79,96.83333333
80,1.833333333
81,32.875
82,22.125
83,8.25
84,36.375
85,36.375
86,3.416666667
87,6.375
88,4.791666667
89,81.125
90,21.83333333
91,14
92,2.125
93,30.83333333
94,6.333333333
95,13.58333333
96,0.875
97,8.291666667
98,15.33333333
99,19.875
100,15.79166667
101,15.16666667
102,27.95833333
103,12.08333333
104,0.208333333
105,47.58333333
106,35.20833333
107,19.75
108,0.708333333
109,28.54166667
110,27.04166667
111,17.91666667
112,1.083333333
113,0.041666667
114,6.75
115,13.95833333
116,63.70833333
117,1.208333333
118,27.54166667
119,10.25
120,12.41666667
121,0.083333333
122,9
123,18.20833333
124,18.5
125,11.79166667
126,1.708333333
127,0.625
128,19.25
129,0.5
130,28.95833333
131,43.95833333
132,9.083333333
133,17.33333333
134,3.375
135,2.125
136,94.79166667
137,4.166666667
138,9.916666667
139,3
140,11.41666667
141,18.66666667
142,0.208333333
143,62.33333333
144,57.75
145,11.75
146,40.45833333
147,43.91666667
148,51.75
149,26.75
150,10.29166667
151,26.875
152,2.958333333
153,0.875
154,0.125
155,0.125
156,1.666666667
157,0.083333333
158,79.45833333
159,2.166666667
160,6.333333333
161,32.75
162,11.16666667
163,43.875
164,46.16666667
165,28
166,6.791666667
167,7.708333333
168,9.166666667
169,23.91666667
170,31.04166667
